Product|FaceValue|OfferDetails
Gillette Disposable, Venus Products|$3.00|SAVE $3.00 ONE Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).
A to Z Wineworks,A to Z Wineworks wine||A to Z Wineworks on any TWO (2) 750ml bottles of A to Z Wineworks wine.
Gain Liquid Fabric Softener, Gain Botanicals, Gain Fireworks, Gain Dryer Sheets, Gain Flings, Gain Detergent|$1.00|Save $1.00 ONE Gain Liquid Fabric Softener 48 ld or larger (includes Gain Botanicals) OR Gain Fireworks In Wash Scent Boosters 5.7 oz or larger OR Gain Dryer Sheets 105 ct or larger (excludes Gain Flings, Gain Detergent and trial/travel size).
Pantene Hair Affair|$1.50|Save $1.50 on  Pantene Product when you buy ONE (1) Pantene Hair Affair Product (3.7-5.9oz). [Excludes trial/travel size].
Sargento Snack Bites||Sargento Snack Bites on ONE (1) Sargento Snack Bites.
Pampers Swaddlers, Cruisers, Baby Dry Diapers|$3.00|Save $3.00 on ONE Super Pack OF Pampers Swaddlers, Cruisers OR Baby Dry Diapers (excludes Overnights, 360 FIT and trial/travel size).
Happy Baby Organics, Happy Tot Organics||Happy Baby Organics & Happy Tot Organics any THREE (3) Happy Baby Organics & Happy Tot Organics...
Pine-Sol||on any one (1) Pine-Sol product, 40oz+
[]||on any ONE (1) Reser's Deli Sides 12-14oz Item
Planet Oat oatmilk|$1.00|Save $1.00 on Planet Oat oatmilk When you buy ONE (1) Planet Oat oatmilk, any variety (52oz)
Colgate Optic White Renewal Toothpaste|$3.00|Save $3.00 on Colgate Optic White Renewal when you buy ONE (1) Colgate Optic White Renewal Toothpaste (3.0 oz or larger)
﻿Downy Liquid Fabric Conditioner, Downy Odor Protect, Downy Wrinkle Guard, Downy Nature Blends , Bounce/Downy Sheets ,Bounce/Downy Wrinkle Guard, Wash Scent Boosters, Downy Unstopables, Fresh Protect, Odor Protect, Downy Libre Enjuague, Gain Fireworks|$2.00|Save $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).
Sargento Natural Cheese Slices||Sargento on any TWO (2) Sargento Natural Cheese Slices.
Crest Toothpaste||Crest ONE Crest Toothpaste 3 oz or more (excludes 4.6 oz Crest...
Tide Simply Laundry Detergent, ERA Laundry Detergent, Tide Detergent, Tide PODS, Tide Simply PODS|$1.00|Save $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).
Dollar General|$5.00|SAVE $5.00 when you make a purchase of $25 or more (pre-tax) at a Dollar General Location 5/30/20 ONLY
Nutiva MCT Oil|$4.00|Save  $4.00 on Nutiva MCT Oil Product when you buy ONE (1) Nutiva MCT Oil Product, any variety or size
HUGGIES LITTLE SWIMMERS||HUGGIES on any ONE (1) package of HUGGIES LITTLE SWIMMERS...
Pine-Sol|$0.50|SAVE $0.50 on ANY ONE (1) bottle of Pine-Sol 40oz+
Cascade Dishwasher Detergent, Rinse Aid, Dishwasher Cleaner|$0.50|SAVE $0.50 ONE Cascade Dishwasher Detergent, Rinse Aid OR Dishwasher Cleaner (excludes ActionPacs 30 ct or larger and trial/travel size).
Arm & Hammer Super Scoop Unscented Cat Litter|$.75|$.75 OFF Arm & Hammer Super Scoop Unscented Cat Litter 14 lbs. - When you clip the Family Dollar Smart Coupon.
Tide Simply Laundry Detergent, Tide Simply PODS, Downy Liquid Fabric Conditioner, Bounce/Downy Sheets , In-Wash Scent Boosters, ERA Laundry Detergent, Downy Unstopables, Fresh Protect, Odor Protect, Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks||ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).
Crest Gum Health Toothpaste , Crest Gum Detoxify , Gum & Enamel Repair, Gum & Sensitivity|$3.00|Save $3.00 on Crest Gum Health Toothpaste when you buy ONE (1) Crest Gum Detoxify, Gum &amp; Enamel Repair, OR Gum &amp; Sensitivity (3.0 oz or larger). Excludes all other variants, kids, and trial/travel size.
[]||Earn 200 BONUS FUEL POINTS when you buy a participating DOORDASH gift card. *Restrictions apply, see Store for details.
DISCREET Boutique|$3.00|Save $3.00 ONE Always DISCREET Boutique Product (excludes other Always Products and trial/travel size).
Skintimate, Schick Disposable Razor Pack, Schick Xtreme3, Schick Xtreme2|$3.00|Save $3.00 on Schick Razor products When you buy ONE (1) Skintimate or Schick Disposable Razor Pack. Excludes Schick® Xtreme3® 1 ct., Schick® Xtreme2® and Skintimate® 2 &amp; 6 ct Disposables
Bounce/Downy Sheets, Bounce/Downy Wrinkle Guard Sheets, Bounce Rapid Touch-up 3 in 1 Spray, Downy Wrinkle Releaser Spray , Downy Libre Enjuague]|$2.00|Save $2.00 on BOUNCE ONE Bounce/Downy Sheets 105 ct TO 120 ct OR Bounce/Downy Wrinkle Guard Sheets 60 ct OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size).
Herbal Essences Shampoo, Conditioner|$2.00|Save $2.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Shampoo or Conditioner Products (11.7oz). [Excludes trial/travel size].
Oikos Greek Yogurt Cup||On Any ONE (1) Oikos Greek Yogurt Cup (Excluding Oikos Triple Zero)
Oral-B Glide Manual Floss, Floss Picks, Interdental Brush, Interdental Picks|$1.00|"Save $1.00 on Oral-B Glide Floss when you buy ONE (1) Oral-B Glide Manual Floss, Floss Picks, Interdental Brush OR Interdental Picks. Excludes trial/travel size."
San Pellegrino Soda||San Pellegrino Soda 6-pk., 11.15-oz. +CRV(CA only). Limit 4.
Colgate Optic White Renewal Toothpaste||ONLY On Colgate Optic White Renewal Toothpaste (3.0 oz or larger)
Frigo Cheese Heads|$0.50|$0.50 OFF on ONE (1) Frigo Cheese Heads 8ct or larger Snack Cheese Product
Signature SELECT refreshe Water||Signature SELECT refreshe Water 24-pack, 16.9-oz. +CRV.
Kingsford, Matchlight Charcoal|$2.00|Save $2.00 on ONE (1) Kingsford  or Matchlight Charcoal 8lbs
COCA-COLA||BACARDI INSTANTLY ON THE PURCHASE OF ONE (1) COCA-COLA 10PK 7.5 OZ...
Crest Whitestrips, Crest 3D White Whitestrips Kit||Crest Whitestrips ONE Crest 3D White Whitestrips Kit (excludes Noticeably...
ZonePerfect Keto Powder, 4-count Shake, 5-count Bar|$2.00|Save $2.00 on ZonePerfect Keto products when you buy ONE (1) ZonePerfect® Keto Powder, 4-count Shake or 5-count Bar.
Kellogg's Jumbo Snax|$1.00|Save $1.00 on Kellogg's Jumbo Snax When you buy any ONE (1) Kellogg's Jumbo Snax (5.4 oz. or Larger, Any Flavor).
Reser's Deli Sides|$1.00|$1.00 OFF on any ONE (1) Reser's Deli Sides 12-14oz Item.
NEW Kingsford Wood Pellets, Classic Blend of Hickory, Oak, Cherry|$1.00|SAVE $1.00 on ANY ONE (1) bag of NEW Kingsford Wood Pellets, Classic Blend of Hickory, Oak, and Cherry.
Cheez-It Baked Snack Crackers Caddy|$1.00|SAVE $1.00 on any ONE (1) Cheez-It Baked Snack Crackers Caddy Pack (20 ct. or Larger, Any Flavor).
Ensure Multi-Pack Shakes||Ensure on Any TWO (2) Ensure Multi-Pack Shakes.
Cascadian Farm Cereal, Granola||when you buy ONE PACKAGE any flavor/variety Cascadian Farm Cereal or Granola.
Signature Pet Care Wet Cat Food||Signature Pet Care Wet Cat Food When you buy FOUR 5.5-oz. Limit 1 offer.
Gain Liquid Fabric Softener, Gain Fireworks In Wash Scent Boosters, Gain Dryer Sheets, Gain Flings, Gain Detergent|$1.00|Save $1.00 on ONE Gain Liquid Fabric Softener 48 ld OR Gain Fireworks In Wash Scent Boosters 5.7 oz OR Gain Dryer Sheets 105 ct OR 120 ct (excludes Gain Flings, Gain Detergent and trial/travel size).
Mission Super Size Yellow Corn Tortillas||Mission Super Size Yellow Corn Tortillas 24-ct.
PULL-UPS Training Pants||off any ONE (1) Box of PULL-UPS Training Pants (40 ct. or higher)
Pepperidge Farm Farmhouse buns, bread, cookies|$3.00|$3.00 OFF when you purchase any THREE (3) Pepperidge Farm Farmhouse buns, bread, or cookies.
Bronkaid|$2.00|Save $2.00 on Bronkaid product When you buy any ONE (1) Bronkaid product, any variety or size
Duncan Hines Classic Cake, Brownie||Duncan Hines Classic Cake or Brownie Mix 15.25-18-oz.
Pampers Swaddlers, Cruisers, Baby Dry Diapers||Pampers ONE BAG Pampers Swaddlers, Cruisers OR Baby Dry Diapers...
Udi's Frozen|$1.00|Save $1.00 on any ONE (1) Udi's Frozen Item.
Signature Pet Care Wet Dog Food||Signature Pet Care Wet Dog Food When you buy FOUR 22-oz. Limit 1 offer.
Fixodent Adhesive|$1.00|SAVE $1.00 ONE Fixodent Adhesive 1.4 oz OR larger (excludes trial/travel size).
Nestlé Frozen Novelties|$1.00|SAVE $1.00 When you buy any TWO (2) Nestlé Frozen Novelties 4ct or larger.
Energizer Batteries|$0.50|Save $0.50 on any one (1) pack of Energizer Batteries
Claritin|$5.00|SAVE $5.00 off any ONE (1) Claritin up to 55ct, excludes 60ct or larger
Evolve Protein Shake, Chocolate, Vanilla, Toasted Almond|$1.00|Save $1.00 On Evolve Protein Shake When you Buy ONE (1) Chocolate, Vanilla or Toasted Almond, 4pk., 44 fl.oz. tot. wt. pkg. *Redeem up to 4 offers for a total of 4 pkgs. In a single order.
Nexium 24HR||ONE (1) Nexium 24HR 28ct or larger
Signature Pet Care Training Pads||Signature Pet Care Training Pads 30-100-ct. Limit 1.
[]||on Any ONE (1) BENADRYL 20ct, 24ct or 4oz product (excludes topical, trial &amp; travel sizes).
Oral-B Vitality, Pro 500 Rechargeable Electric Toothbrush|$5.00|Save $5.00 on Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.
Clear Eyes|$1.00|Save $1.00 On Clear Eyes When you Buy ONE (1) pkg.
Simply Orange Juice||Simply Orange Juice 52-oz. +CRV(CA only). Limit 4.
Bic Disposable Razors, Hybrid with 6 Cartridges, Simply Soleil Bella, Hybrid with 12 Cartridges, Flex5 Hybrid with 6 Cartridges|$3.00|Save $3.00 On Bic Disposable Razors When you Buy ONE (1) 1 ct. Hybrid with 6 Cartridges, 2 ct. Flex5, 3 ct. Flex4, Simply Soleil Bella, 4 ct. Flex3 (Excluding 1 ct. Hybrid with 12 Cartridges and 1 ct. Flex5 Hybrid with 6 Cartridges)
[]|$1.00|Save $1.00 on BENADRYL product when you buy ONE (1) BENADRYL®  20ct, 24ct or 4oz product. Excludes topical, trial &amp; travel sizes.
Colgate Zero Mouthwash|$2.00|Save $2.00 on Colgate or Colgate Zero Mouthwash when you buy ONE (1) Colgate® or Colgate® Zero Mouthwash (400 mL or larger).
Burt's Bees Kids Toothpaste|$0.75|Save $0.75 on Burt's Bees Kids Toothpaste when you buy ONE (1) Burt's Bees Kids Toothpaste. Excludes trial/travel size.
Purina Beggin, DentaLife Dog Treats||on TWO (2) Purina Beggin, Busy or DentaLife Dog Treats or Chews, any size, any variety
Dog Chow Dry Dog Food|$1.00|SAVE $1.00 on ONE (1) 35 lb bag of Dog Chow Dry Dog Food, any variety
Oral-B Pro 1000, 3000 Rechargeable Electric Toothbrush|$5.00|Save $5.00 on Oral-B Pro 1000 OR 3000 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Pro 1000 OR Pro 3000 Rechargeable Electric Toothbrush.
SMIRNOFF||SMIRNOFF ONE (1) bottle (750ml or larger) of SMIRNOFF (any variant,...
Tide Laundry Detergent, Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply, Tide Simply PODS, Tide Detergent|$2.00|Save $2.00 on ONE Tide Laundry Detergent 75 oz OR 69 oz (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).
New Belgium beer||New Belgium Beer on TWO (2) 6pks of any New Belgium beer.
Signature SELECT Madeleine Cookies||Signature SELECT Madeleine Cookies 14-oz. Limit 1.
Lucerne Shredded Cheese||Lucerne Shredded Cheese 6 to 8-oz.
YumEarth Organic Lollipops, Straberry or Black Licorice|$1.00|Save $1.00 on YumEarth When you buy ONE (1)  YumEarth Organic Lollipops, Straberry or Black Licorice
Prilosec OTC|$1.00|Save $1.00 on Prilosec OTC Products when you buy ONE (1) Prilosec OTC Product.
Gillette Blade Refill|$4.00|Save $4.00 ONE Gillette Blade Refill (4 ct or larger).
[]||ALTOS Tequila on taco essentials when you purchase ONE (1) 750ml bottle...
Lipton or Tazo Tea||Lipton or Tazo Tea 75-100-ct. Lipton or 20-ct. Tazo.
Dreft Newborn Laundry Detergent, Dreft Active Baby Laundry Detergent|$2.00|Save $2.00 on ONE Dreft Newborn Laundry Detergent 50 oz OR Dreft Active Baby Laundry Detergent 50 oz (excludes trial/travel size).
Tide Simply Laundry Detergent,ERA Laundry Detergent, Tide Detergent , Tide PODS, Tide Simply PODS|$1.00|SAVE $1.00 ONE Tide Simply Laundry Detergent 50 oz or larger OR ERA Laundry Detergent 75 oz or larger (excludes Tide Detergent, Tide PODS, Tide Simply PODS, and trial/travel size).
Oral-B Adult Manual Toothbrush||Oral B ONE Oral-B Adult Manual Toothbrush (excludes Pulsar,...
MAXWELL HOUSE Iced Coffee can|$0.50|SAVE $0.50 off ONE (1) MAXWELL HOUSE Iced Coffee can
[]||Chobani Greek Yogurt 32-oz.
[]||Signature SELECT Cheese Crunchies 8-oz. Limit 1.
Dark Chocolate Dessert Dip|$0.75|SAVE $0.75 on ONE (1) Sabra® Dark Chocolate Dessert Dip &amp; Spread
liquid laundry detergent|$2.00|Save $2.00 off ONE (1) all liquid laundry detergent (88oz.) or mighty pacs® (39ct.)
